Date,Open,High,Low,Close,Adj Close,Volume
2016-05-01,189.809998,193.270004,185.970001,192.539993,167.035843,38163000
2016-06-01,191.880005,194.949997,182.270004,192.199997,166.740875,61825000
2016-07-01,192.089996,199.600006,189.970001,199.279999,173.747055,41945100
2016-08-01,199.330002,201.509995,196.880005,199.520004,173.956284,43949700
2016-09-01,199.500000,201.149994,194.119995,198.690002,173.232620,44978100
2016-10-01,198.179993,198.949997,193.919998,195.130005,170.888977,33929400
2016-11-01,195.520004,203.690002,191.320007,202.399994,177.255814,52732400
2016-12-01,202.679993,209.699997,201.240005,205.309998,179.804321,52301600
2017-01-01,206.679993,210.899994,205.559998,208.970001,184.153900,57281100
2017-02-01,209.619995,217.899994,208.229996,217.070007,191.292023,35460000
2017-03-01,218.899994,220.660004,212.619995,216.350006,190.657501,47641500
2017-04-01,216.509995,219.899994,213.470001,218.600006,193.536301,39168600
2017-05-01,219.160004,222.240005,216.130005,221.669998,196.254272,40652300
2017-06-01,222.139999,225.770004,220.419998,222.059998,196.599548,43549300
2017-07-01,223.089996,227.779999,220.720001,226.639999,201.563278,37712000
2017-08-01,227.300003,228.619995,222.119995,227.300003,202.150269,37622400
2017-09-01,227.759995,230.899994,224.979996,230.759995,205.227417,33381500
2017-10-01,231.000000,236.880005,230.910004,236.130005,211.078934,33049800
2017-11-01,237.029999,244.399994,234.820007,243.350006,217.532928,43311300
2017-12-01,243.250000,248.009995,239.520004,245.289993,219.267090,44190300
2018-01-01,246.149994,263.369995,245.740005,258.989990,232.628738,63544700
2018-02-01,258.290009,260.119995,232.419998,249.339996,223.960983,88662700
2018-03-01,249.529999,257.709991,237.529999,242.080002,217.439896,63873500
2018-04-01,241.190002,249.220001,233.919998,242.919998,219.192383,57319400
2018-05-01,242.449997,251.940002,237.919998,248.789993,224.489029,43981400
2018-06-01,250.229996,256.769989,246.630005,249.509995,225.138687,54654400
2018-07-01,247.559998,261.250000,247.320007,258.399994,234.250839,45574600
2018-08-01,258.640015,268.049988,256.480011,266.720001,241.793335,49555700
2018-09-01,266.350006,270.670013,263.450012,267.049988,242.092484,48732300
2018-10-01,268.459991,269.470001,238.789993,248.789993,226.558090,91439900
2018-11-01,249.630005,258.440002,241.729996,253.479996,230.828979,61115400
2018-12-01,257.649994,257.739990,214.830002,229.809998,209.274139,128542800
2019-01-01,226.179993,248.529999,223.970001,248.009995,227.070496,81247700
2019-02-01,248.309998,258.609985,246.199997,256.070007,234.450012,57656000
2019-03-01,257.809998,262.589996,250.339996,259.540009,237.627060,62970600
2019-04-01,261.459991,270.410004,261.190002,270.010010,248.604675,41351400
2019-05-01,270.679993,270.869995,252.770004,252.869995,232.823441,72318000
2019-06-01,252.830002,272.790009,250.770004,269.149994,247.812836,48686500
2019-07-01,272.459991,277.549988,270.299988,273.079987,252.737717,55490400
2019-08-01,273.279999,276.279999,258.700012,268.600006,248.591553,76101400
2019-09-01,266.829987,277.980011,265.679993,272.600006,252.293533,45894200
2019-10-01,273.440002,279.690002,261.589996,278.549988,259.027313,52876500
2019-11-01,280.049988,289.779999,279.910004,288.649994,268.419495,43686600
2019-12-01,289.029999,297.510010,282.100006,295.799988,275.068390,56497300
2020-01-01,297.290009,305.920013,294.350006,295.690002,276.298584,66810800
2020-02-01,297.119995,311.589996,262.250000,271.739990,253.919266,99630500
2020-03-01,274.000000,288.320007,200.550003,236.820007,221.289322,281765600
2020-04-01,227.919998,271.000000,224.130005,267.100006,250.755264,149156600
2020-05-01,262.140015,282.040009,253.970001,279.750000,262.631134,92558000
2020-06-01,279.070007,297.320007,272.769989,283.429993,266.085938,98699000
2020-07-01,284.369995,300.619995,283.950012,300.100006,283.200317,73796600
2020-08-01,301.649994,322.829987,301.130005,321.019989,302.942261,61300400
2020-09-01,321.809998,329.670013,295.040009,307.649994,290.325165,74308600
2020-10-01,310.160004,325.220001,296.369995,299.820007,284.142303,62731400
2020-11-01,303.369995,335.200012,300.630005,332.640015,315.246155,67817500
2020-12-01,335.920013,344.369995,333.769989,343.690002,325.718323,62114200
2021-01-01,345.019989,354.649994,335.369995,340.179993,323.710144,67310300
2021-02-01,343.630005,362.369995,341.399994,349.589996,332.664581,65396000
2021-03-01,354.549988,366.049988,341.920013,364.299988,346.662384,115891100
2021-04-01,366.200012,386.739990,366.029999,383.570007,366.286530,77399700
2021-05-01,385.559998,388.679993,372.130005,386.130005,368.731232,91773000
2021-06-01,388.500000,394.450012,382.519989,393.519989,375.788208,68945800
2021-07-01,394.299988,406.130005,387.929993,403.149994,386.290100,87927300
2021-08-01,404.779999,416.559998,400.920013,415.049988,397.692444,81081600
2021-09-01,416.049988,417.440002,394.339996,394.399994,377.905975,103242900
2021-10-01,396.230011,422.519989,391.959991,422.160004,405.831696,93891000
2021-11-01,423.190002,435.410004,418.630005,419.059998,402.851654,100234600
2021-12-01,424.470001,440.359985,412.769989,436.570007,419.684357,142346700
2022-01-01,437.929993,441.260010,386.839996,413.690002,399.146912,209400200
2022-02-01,414.339996,421.179993,377.500000,401.359985,387.250336,178146000
2022-03-01,400.010010,424.720001,381.640015,415.170013,400.574921,137200500
2022-04-01,416.679993,420.820007,378.000000,378.700012,366.617584,109706000
2022-05-01,378.790009,394.929993,349.760010,379.679993,367.566284,142832100
2022-06-01,381.609985,383.739990,334.239990,346.880005,335.812775,118457600
2022-07-01,346.160004,379.660004,341.049988,378.790009,368.207367,91517600
2022-08-01,376.119995,396.890015,363.109985,363.149994,353.004333,82930500
2022-09-01,361.100006,378.510010,328.119995,328.299988,319.127930,110165900
2022-10-01,331.790009,357.980011,319.869995,354.950012,346.551300,99168300
2022-11-01,358.529999,374.589996,338.899994,374.489990,365.628937,78851100
2022-12-01,375.869995,377.190002,344.339996,351.339996,343.026703,94160600
2023-01-01,353.179993,375.079987,347.190002,373.440002,366.349823,76686800
2023-02-01,372.440002,384.410004,361.730011,364.109985,357.196960,70620000
2023-03-01,363.339996,376.339996,349.760010,376.070007,368.929901,98871600
2023-04-01,375.600006,382.119995,370.980011,382.049988,376.339539,59258500
2023-05-01,381.730011,388.260010,370.920013,383.890015,378.152069,74581000
2023-06-01,384.200012,408.760010,382.970001,407.279999,401.192444,87009900
2023-07-01,406.920013,422.149994,401.559998,420.679993,416.020874,75235500
2023-08-01,419.260010,420.079987,397.850006,413.829987,409.246735,87472600
2023-09-01,416.459991,416.880005,389.450012,392.700012,388.350800,85361800
2023-10-01,391.899994,402.500000,375.950012,384.170013,381.364624,112733000
2023-11-01,385.089996,421.119995,384.619995,419.399994,416.337341,87596800
2023-12-01,418.829987,438.839996,417.459991,436.799988,433.610291,100255600
2024-01-01,433.910004,451.809998,428.640015,443.820007,442.397339,113229600
2024-02-01,445.350006,468.869995,444.649994,466.929993,465.433228,103468600
2024-03-01,467.829987,483.239990,464.059998,480.700012,479.159119,106573400
2024-04-01,481.440002,481.959991,453.899994,461.429993,461.429993,132234200
2024-05-01,460.769989,489.989990,459.160004,484.619995,484.619995,83374300
2024-06-01,null,null,null,null,null,null
